Revenue Codes 2025,Revenue Code Description,Type Of Care
729,"Labor room delivery,",Labor Room / Delivery
730,"Electrocardiogram (EKG), electroencephalogram (EEG)",EKG / EEG
731,"Electrocardiogram (EKG), electroencephalogram (EEG), Holter monitor",EKG / EEG
732,Telemetry,EKG / EEG
739,"Electrocardiogram (EKG), electroencephalogram (EEG),",EKG / EEG
740,"Electroencephalogram (EEG), general",EEG Services
741,Reserved electroencephalogram (EEG),EEG Services
742,Reserved electroencephalogram (EEG),EEG Services
743,Reserved electroencephalogram (EEG),EEG Services
744,Reserved electroencephalogram (EEG),EEG Services
745,Reserved electroencephalogram (EEG),EEG Services
746,Reserved electroencephalogram (EEG),EEG Services
747,Reserved electroencephalogram (EEG),EEG Services
748,Reserved electroencephalogram (EEG),EEG Services
749,Reserved electroencephalogram (EEG),EEG Services
750,Gastrointestinal (GI) services general,Gastrointestinal (GI) Services
751,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
752,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
753,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
754,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
755,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
756,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
757,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
758,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
759,Reserved gastrointestinal (GI) services,Gastrointestinal (GI) Services
760,"Specialty room, general",Specialty Room
761,"Specialty room, treatment room",Specialty Room
769,"Specialty room, rooms",Specialty Room
770,"Preventive care services, general",Specialty Room
771,"Preventive care services, vaccine administration",Specialty Room
772,Reserved preventive care services,Specialty Room
773,Reserved preventive care services,Specialty Room
774,Reserved preventive care services,Specialty Room
775,Reserved preventive care services,Specialty Room
776,Reserved preventive care services,Specialty Room
777,Reserved preventive care services,Specialty Room
778,Reserved preventive care services,Specialty Room
779,Reserved preventive care services,Specialty Room
780,"Telemedicine, general",Telemedicine
781,Reserved telemedicine,Telemedicine
782,Reserved telemedicine,Telemedicine
783,Reserved telemedicine,Telemedicine
784,Reserved telemedicine,Telemedicine
785,Reserved telemedicine,Telemedicine
786,Reserved telemedicine,Telemedicine
787,Reserved telemedicine,Telemedicine
788,Reserved telemedicine,Telemedicine
789,Reserved telemedicine,Telemedicine
790,"Extra-corporeal shock wave therapy, general",Extra-Corporeal Shock Wave Therapy
791,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
792,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
793,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
794,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
795,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
796,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
797,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
798,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
799,Reserved extra-corporeal shock wave therapy,Extra-Corporeal Shock Wave Therapy
811,"Acquisition of body components, living donor",Acquisition of Body Components / Donor Services
812,"Acquisition of body components, cadaver donor",Acquisition of Body Components / Donor Services
813,"Acquisition of body components, unknown donor",Acquisition of Body Components / Donor Services
814,"Acquisition of body components unsuccessful organ search, donor bank charges",Acquisition of Body Components / Donor Services
819,"Acquisition of body components unsuccessful organ search, donor bank charges",Acquisition of Body Components / Donor Services
820,"Hemodialysis, outpatient or home general",Hemodialysis
821,"Hemodialysis, composite or rate",Hemodialysis
